"flight","date","growth_stage","subplot","N_rate_kg_ha","index","canopy_polygon_count","canopy_area_m2","n_pixels","n_duplicate_cells_removed","coverage_pct","mean","median","sd","p05","p25","p75","p95","p99","min","max","n_below_minus1","n_above_1","pct_outside_minus1_1"
3,"2024-10-02","R6","P2",100,"NDVI",41,8.00989674786706,90689,1172,98.6537252693399,0.928991166450537,0.931672334671021,0.0439717378215495,0.852100872993469,0.898545682430267,0.964324176311493,0.993981754779816,0.999523739814758,0.740000426769257,1,0,0,0
3,"2024-10-02","R6","P2",100,"MSAVI",41,8.00989674786706,90689,1172,98.6537252693399,0.720164812999337,0.719492614269257,0.0679852785848039,0.610313487052917,0.673245131969452,0.76578414440155,0.833789217472076,0.882958285808563,0.463804990053177,1.01911675930023,0,1,0.00110266956301205
3,"2024-10-02","R6","P2",100,"WDRVI",41,8.00989674786706,90689,1172,98.6537252693399,0.672909030465335,0.668445348739624,0.18019470474509,0.380622017383575,0.538209497928619,0.814827620983124,0.966653048992157,0.997327296733856,0.0872718766331673,1,0,0,0
3,"2024-10-02","R6","P3",200,"NDVI",43,8.63417584852505,97995,907,98.893744618108,0.930374471597133,0.933621823787689,0.0441729874506925,0.852976202964783,0.900028467178345,0.965983092784882,0.994376242160797,0.999599660634995,0.725393116474152,1,0,0,0
3,"2024-10-02","R6","P3",200,"MSAVI",43,8.63417584852505,97995,907,98.893744618108,0.728113926844704,0.727484405040741,0.0690910387428863,0.615734302997589,0.681285411119461,0.774320542812347,0.84313668012619,0.891409994363785,0.440982431173325,1.03107559680939,0,10,0.0102046022756263
3,"2024-10-02","R6","P3",200,"WDRVI",43,8.63417584852505,97995,907,98.893744618108,0.678853918049456,0.676647901535034,0.181125190677221,0.383358708024025,0.543692976236343,0.822811037302017,0.968810856342316,0.997752984762192,0.0558906495571136,1,0,0,0
3,"2024-10-02","R6","P4",300,"NDVI",40,13.310398727247,151405,1050,99.1139869011989,0.932575053621648,0.935350477695465,0.0423444908146843,0.857893145084381,0.90353137254715,0.966676473617554,0.994290995597839,0.999581451416016,0.653677046298981,1,0,0,0
3,"2024-10-02","R6","P4",300,"MSAVI",40,13.310398727247,151405,1050,99.1139869011989,0.72634158494537,0.724757552146912,0.0687402138152351,0.615729832649231,0.678520500659943,0.772479295730591,0.841483104228973,0.892232773303986,0.361328929662704,1.04770648479462,0,16,0.0105676827053268
3,"2024-10-02","R6","P4",300,"WDRVI",40,13.310398727247,151405,1050,99.1139869011989,0.687011000980464,0.683975040912628,0.175463779093187,0.398886227607727,0.556768894195557,0.826164722442627,0.968344211578369,0.997650892734528,-0.0811148211359978,1,0,0,0
3,"2024-10-02","R6","P5",400,"NDVI",44,11.1274406102766,127767,0,100.048183201384,0.930390158325698,0.932542324066162,0.0396492154227568,0.861482512950897,0.903324872255325,0.960959732532501,0.990717738866806,0.998644361495972,0.712685286998749,1,0,0,0
3,"2024-10-02","R6","P5",400,"MSAVI",44,11.1274406102766,127767,0,100.048183201384,0.712084360524794,0.709496080875397,0.0638951532493877,0.611376237869263,0.668061941862106,0.753381222486496,0.821781498193741,0.86987050652504,0.420444160699844,0.99465674161911,0,0,0
